label,effective_dims,area
296,3.3600289611994785,schaefer_296
42,3.367268663150942,schaefer_42
113,3.3905738445328084,schaefer_113
85,3.395950950644296,schaefer_85
60,3.4056218277504664,schaefer_60
221,3.412960687188477,schaefer_221
299,3.4188239327472614,schaefer_299
353,3.4303598675248463,schaefer_353
88,3.435396271634602,schaefer_88
277,3.437772992343766,schaefer_277
226,3.4579819049362137,schaefer_226
373,3.458010025173194,schaefer_373
80,3.4665211873977912,schaefer_80
46,3.468901345259098,schaefer_46
362,3.4695622136239206,schaefer_362
81,3.481855812744898,schaefer_81
245,3.482019698646187,schaefer_245
284,3.483293669051156,schaefer_284
48,3.493835999546803,schaefer_48
50,3.497242563503773,schaefer_50
25,3.52242284401942,schaefer_25
364,3.525475249254999,schaefer_364
227,3.5409650231241443,schaefer_227
31,3.541564696771468,schaefer_31
18,3.582483923483134,schaefer_18
185,3.5859197053105745,schaefer_185
59,3.589767059823282,schaefer_59
279,3.5921643175886877,schaefer_279
52,3.6055297733335303,schaefer_52
253,3.6127453320705953,schaefer_253
29,3.629191178397117,schaefer_29
292,3.632856550836296,schaefer_292
247,3.632993402477882,schaefer_247
357,3.634423847936644,schaefer_357
282,3.651840589788846,schaefer_282
47,3.671084588358452,schaefer_47
13,3.67511569095781,schaefer_13
58,3.679157710291443,schaefer_58
43,3.680271365035163,schaefer_43
186,3.6881110156750094,schaefer_186
252,3.69051720624783,schaefer_252
257,3.695280581722476,schaefer_257
399,3.699137040121651,schaefer_399
74,3.700396101615374,schaefer_74
359,3.7061668812825177,schaefer_359
182,3.707248577494348,schaefer_182
54,3.7120284237200583,schaefer_54
230,3.714853009624076,schaefer_230
298,3.725509895068052,schaefer_298
248,3.727639237566664,schaefer_248
259,3.7353636725098456,schaefer_259
218,3.736300946129959,schaefer_218
6,3.7403700390716903,schaefer_6
318,3.756971886751694,schaefer_318
183,3.759010064513841,schaefer_183
255,3.7593916419616136,schaefer_255
79,3.7621020903461937,schaefer_79
283,3.7638287635442382,schaefer_283
396,3.7710650036433537,schaefer_396
112,3.7745962591453712,schaefer_112
147,3.777407932813104,schaefer_147
258,3.781090247058753,schaefer_258
27,3.796157816532323,schaefer_27
387,3.797260581941216,schaefer_387
266,3.797380527945695,schaefer_266
291,3.8133034796378817,schaefer_291
265,3.829248228516101,schaefer_265
269,3.829695604011051,schaefer_269
287,3.830440570747464,schaefer_287
23,3.8539722006334607,schaefer_23
196,3.855113971413647,schaefer_196
243,3.8595944616746585,schaefer_243
93,3.8616170098271296,schaefer_93
142,3.865663889725931,schaefer_142
358,3.8800753432863866,schaefer_358
133,3.880658949201455,schaefer_133
286,3.888382034893036,schaefer_286
225,3.891139545608066,schaefer_225
244,3.8931122390711934,schaefer_244
94,3.907137401609396,schaefer_94
11,3.9076633627419928,schaefer_11
394,3.9163659127850488,schaefer_394
141,3.934796983198492,schaefer_141
175,3.9366263334064304,schaefer_175
289,3.953017999543515,schaefer_289
56,3.959317368098757,schaefer_56
211,3.9700893984027616,schaefer_211
86,3.975215913285465,schaefer_86
8,3.975935587318976,schaefer_8
295,3.97854185692054,schaefer_295
65,3.9797055858748895,schaefer_65
180,3.9979290128890894,schaefer_180
87,4.003329820698623,schaefer_87
187,4.003445934698296,schaefer_187
171,4.012040312425287,schaefer_171
274,4.014916875215635,schaefer_274
190,4.016687872601671,schaefer_190
21,4.019949167152581,schaefer_21
219,4.027481897319725,schaefer_219
352,4.033901719856547,schaefer_352
30,4.039201547600593,schaefer_30
146,4.053092524238589,schaefer_146
197,4.059509120148173,schaefer_197
15,4.079911014473062,schaefer_15
67,4.090917518805705,schaefer_67
44,4.092539945720784,schaefer_44
139,4.111292095532309,schaefer_139
261,4.116421462262661,schaefer_261
386,4.121771195637639,schaefer_386
57,4.122369163374536,schaefer_57
315,4.1395448751163375,schaefer_315
138,4.144056832636606,schaefer_138
