label,x,y,z,dtseries_row_i,left_hemi,first_rdm_corr,replication_rdm_corr,y_third
29.0,-15.234247333598587,-86.3382940712215,31.74432304670226,10811.295597484277,1.0,0.3560958899117369,0.2092092462346348,1.0
30.0,-13.45808150551536,-77.36097828258167,34.41100359829989,13501.781818181818,1.0,0.2576154885561244,0.09557486317933,1.0
31.0,-19.639435635672676,-73.99949439366658,43.49440234237247,10527.618055555555,1.0,0.5147803089733799,0.4720441173744262,1.0
32.0,-49.03084476177509,-11.972914416056414,1.3554784879832358,28575.491124260356,1.0,0.0641436441870221,0.1717106993960873,2.0
33.0,-54.00358712288641,-23.15693170409049,7.468659780679211,20093.189516129034,1.0,0.1449492789370339,0.1899213422178245,2.0
34.0,-36.05682226197909,-22.91511911206541,7.976709738241888,21688.150442477876,1.0,0.0752209140674362,0.1073423224745095,2.0
35.0,-38.26655792236328,-7.800299957344929,12.75721817917294,10201.648888888889,1.0,0.15858597580643383,0.17301300889136903,2.0
36.0,-35.274307401252514,-26.259848762281013,18.065500444354434,12919.315151515151,1.0,-0.0314381843796422,0.0372466741941993,2.0
37.0,-56.003763762997906,-38.444517390828736,16.7714777462919,7924.070422535211,1.0,0.0439320082569945,0.2212913694564406,2.0
38.0,-40.8947062673448,-35.254600416255904,14.738158141510397,8852.924050632912,1.0,0.1197895241511116,0.21575903996551232,2.0
39.0,-46.76311216856304,-15.366519488786397,16.358583801671077,16130.098684210527,1.0,-0.0414653244511279,0.1680154051648225,2.0
40.0,-58.678254071403956,-4.534862143327208,12.254892638150384,16923.758823529413,1.0,0.0364637114643683,0.1766055564832671,2.0
41.0,-47.61252958433969,-25.465774723461696,18.978941321372986,15338.607142857143,1.0,0.1252887871303381,0.1424229291762714,2.0
42.0,-57.525221583354906,-19.45638812880918,20.359052267419287,15723.168674698794,1.0,0.0963762773625336,0.1828791760620187,2.0
43.0,-57.20575320415008,-4.450994098654542,22.97329524235848,16531.358974358973,1.0,0.0023564205956334,0.22154458832124482,3.0
44.0,-60.92603968060206,-12.060912109556652,29.776022608318026,16064.214285714286,1.0,0.0523804174819164,0.1814655719760435,2.0
45.0,-50.73806768948914,-10.372338291074408,28.63089581786609,16325.672131147541,1.0,0.0246490162120179,0.1319283475280031,2.0
46.0,-53.34997084793771,-21.44159431821981,38.691969610323575,13605.573248407643,1.0,0.0447882303218432,0.2756278295303865,2.0
47.0,-48.24751021106791,-8.804261429709678,41.07851983301388,11659.217391304348,1.0,0.2236516201084277,0.3252129696785882,2.0
48.0,-46.59952385969988,-16.806013580382338,38.227507718904754,10228.842519685038,1.0,-0.0016946737521276,0.1406403604412805,2.0
49.0,-8.841333629219395,-14.646942964784659,45.64355539212561,2681.56050955414,1.0,0.21781761873168398,0.1539647180727455,2.0
50.0,-38.9128800034523,-15.298571813851595,46.157748609781265,5302.6640625,1.0,0.0652650025981807,0.2362198638316617,2.0
51.0,-46.684391375950405,-19.89622849055699,52.08233893258231,6272.1,1.0,0.0709607378979364,0.1302537207217299,2.0
52.0,-44.51837741806213,-30.405899458197485,53.219455946964096,5937.474103585658,1.0,0.0692151226873079,0.1589506497457757,2.0
53.0,-37.03227366758197,-25.498946757798784,49.52913700060898,6271.91011235955,1.0,0.0452672180469763,0.1049619910933044,2.0
54.0,-9.570258670978331,-37.15860581130124,53.07366467593761,2367.6516853932585,1.0,0.1597505836807775,0.1663006572322813,2.0
55.0,-4.786029439611533,-22.49151052887907,54.25706206646162,2784.618556701031,1.0,0.1644781578469696,-0.028784921625618205,2.0
56.0,-4.765091714651688,-8.105076038967008,58.968775168709136,3065.4239130434785,1.0,0.1587475028347765,0.12295178625460049,2.0
57.0,-33.5600575085344,-19.375391707338135,60.05587431480144,3871.2112068965516,1.0,0.1836460725714289,0.1291061376678718,2.0
58.0,-30.147181963920595,-44.97997579574585,59.05958757400513,9743.84375,1.0,0.1277618546657289,0.1625258370665935,1.0
