rois,rmse
"['schaefer_145' 'schaefer_198' 'schaefer_238' 'schaefer_241'
 'schaefer_284' 'schaefer_342' 'schaefer_352' 'schaefer_8']",0.08743095111728907
"['schaefer_104' 'schaefer_173' 'schaefer_246' 'schaefer_31' 'schaefer_371'
 'schaefer_412' 'schaefer_419' 'schaefer_50']",0.08535847601576613
"['schaefer_108' 'schaefer_135' 'schaefer_252' 'schaefer_326'
 'schaefer_334' 'schaefer_399' 'schaefer_46' 'schaefer_89']",0.08168082841144693
"['schaefer_133' 'schaefer_214' 'schaefer_249' 'schaefer_316'
 'schaefer_380' 'schaefer_381' 'schaefer_418' 'schaefer_56']",0.08714168673893263
"['schaefer_142' 'schaefer_222' 'schaefer_227' 'schaefer_283'
 'schaefer_362' 'schaefer_392' 'schaefer_4' 'schaefer_75']",0.08396699804805674
"['schaefer_137' 'schaefer_180' 'schaefer_203' 'schaefer_227'
 'schaefer_228' 'schaefer_303' 'schaefer_340' 'schaefer_385']",0.08381912562220462
"['schaefer_105' 'schaefer_232' 'schaefer_284' 'schaefer_289'
 'schaefer_297' 'schaefer_300' 'schaefer_379' 'schaefer_391']",0.08367613264460547
"['schaefer_1' 'schaefer_164' 'schaefer_196' 'schaefer_281' 'schaefer_350'
 'schaefer_369' 'schaefer_371' 'schaefer_406']",0.0728049701268423
"['schaefer_160' 'schaefer_178' 'schaefer_238' 'schaefer_280'
 'schaefer_317' 'schaefer_376' 'schaefer_411' 'schaefer_56']",0.0862031574014392
"['schaefer_187' 'schaefer_235' 'schaefer_251' 'schaefer_287'
 'schaefer_298' 'schaefer_301' 'schaefer_378' 'schaefer_9']",0.08914268250407467
"['schaefer_179' 'schaefer_206' 'schaefer_226' 'schaefer_341'
 'schaefer_368' 'schaefer_384' 'schaefer_390' 'schaefer_400']",0.08423159932742408
"['schaefer_168' 'schaefer_211' 'schaefer_215' 'schaefer_23' 'schaefer_243'
 'schaefer_253' 'schaefer_412' 'schaefer_64']",0.08411422994202544
