area,label,rdm_r
schaefer_175,175,0.00037098496783015644
schaefer_176,176,0.1558040243567113
schaefer_177,177,0.12349683061119669
schaefer_178,178,-0.039764592943244706
schaefer_179,179,-0.008175960656001091
schaefer_180,180,0.034154455072858914
schaefer_181,181,0.1272640429996542
schaefer_182,182,0.13808777760232452
schaefer_183,183,-0.013483503727031509
schaefer_184,184,0.1129600717041217
schaefer_185,185,0.1833638500868826
schaefer_186,186,0.1556706893975584
schaefer_187,187,-0.003452198464820503
schaefer_188,188,0.018906883385343257
schaefer_189,189,0.13233717418285232
schaefer_190,190,-0.05919829835639492
schaefer_191,191,0.1442482307351874
schaefer_192,192,-0.09116563372460205
schaefer_193,193,0.03380019823917929
schaefer_194,194,0.04278780413204036
schaefer_195,195,-0.0005072863442919861
schaefer_196,196,-0.05150981119147751
schaefer_197,197,0.029097077441103875
schaefer_198,198,0.0881660563674166
schaefer_199,199,0.16586381446930257
schaefer_200,200,-0.03473858528797734
schaefer_201,201,0.13209839859926742
schaefer_202,202,0.00547123881895959
schaefer_203,203,0.17996358687831243
schaefer_204,204,0.247283858560925
schaefer_205,205,-0.00296326006943603
schaefer_206,206,0.174898214525126
schaefer_207,207,-0.06214108423133772
schaefer_208,208,0.410286291142591
schaefer_209,209,0.21903467096344587
schaefer_210,210,0.31630695664703756
schaefer_211,211,0.14828872986707192
schaefer_212,212,0.048372583706123864
schaefer_213,213,0.3823162547741943
schaefer_214,214,0.10582931649595428
schaefer_215,215,0.35044787234740676
schaefer_216,216,0.13900190483064007
schaefer_217,217,0.07994219317929045
schaefer_218,218,0.1106437730144348
schaefer_219,219,0.13443301235129407
schaefer_220,220,-0.011342048980600199
schaefer_221,221,0.17237274704620592
schaefer_222,222,-0.006701959700548664
schaefer_223,223,0.15472520622458327
schaefer_224,224,0.09976690167412082
schaefer_225,225,0.06710820695295629
schaefer_226,226,0.07713619397041077
schaefer_227,227,0.10425794357097103
schaefer_228,228,0.1271638938629578
schaefer_229,229,0.08168630655630703
schaefer_230,230,0.1153514400963639
schaefer_231,231,-0.010828470640022623
schaefer_232,232,0.168190149257306
schaefer_233,233,0.11824795088801543
schaefer_234,234,0.021808441078775356
schaefer_235,235,0.016189530832654057
schaefer_236,236,0.0975312212464133
schaefer_237,237,0.08288401281298335
schaefer_238,238,0.08511205590366362
schaefer_239,239,0.12093709105082048
schaefer_240,240,0.11898955845708756
schaefer_241,241,0.014320466646425433
schaefer_242,242,0.006953035637408932
schaefer_243,243,0.15670702589881474
schaefer_244,244,0.09948188303977677
schaefer_245,245,0.05890865275985476
schaefer_246,246,0.10859547993681984
schaefer_247,247,0.11797779116831174
schaefer_248,248,0.058406203789528086
schaefer_249,249,0.06983012238455781
schaefer_250,250,0.09720600149371832
schaefer_251,251,0.07227512808570206
schaefer_252,252,0.2097965818167227
schaefer_253,253,0.11422404670344788
schaefer_254,254,0.0944145720910756
schaefer_255,255,0.13689917631925358
schaefer_256,256,0.11114084784613422
schaefer_257,257,0.10367824731799054
schaefer_258,258,0.15246728452548136
schaefer_259,259,0.09841970419074493
schaefer_260,260,0.07817764701606846
schaefer_261,261,0.18471827143218603
schaefer_262,262,0.16127945460639878
schaefer_263,263,0.07504065460103301
schaefer_264,264,0.09958193304733085
schaefer_265,265,0.03429843850474853
schaefer_266,266,0.20968277810881078
schaefer_267,267,0.19743941099915616
schaefer_268,268,0.05572737597896639
schaefer_269,269,0.13662094062205973
schaefer_270,270,0.07627946045970734
schaefer_271,271,0.21678646458454204
schaefer_272,272,0.08403537809248877
schaefer_273,273,0.04816158849112445
schaefer_274,274,-0.005849482639069604
schaefer_275,275,0.1675239298194957
schaefer_276,276,0.20748494745408075
schaefer_277,277,0.039975880414107705
schaefer_278,278,0.2714322891590024
schaefer_279,279,0.11304650285850494
schaefer_280,280,0.12161161056692675
schaefer_281,281,0.2022439911846883
schaefer_282,282,0.25737122193159523
schaefer_283,283,0.12051404072775439
schaefer_284,284,0.17687621448399637
schaefer_285,285,0.08718933770984685
schaefer_286,286,0.25445985368642177
schaefer_287,287,0.2031754696053192
schaefer_288,288,0.18822602743972802
schaefer_289,289,0.1490312379721869
schaefer_290,290,0.19911955855761646
schaefer_291,291,0.2806702549052456
schaefer_292,292,0.29230078869428106
schaefer_293,293,0.2785755786894778
schaefer_294,294,0.11025938698946636
schaefer_295,295,0.07618157833731676
schaefer_296,296,0.0759143580878416
schaefer_297,297,0.1549431171653217
schaefer_298,298,0.10005530996322984
schaefer_299,299,0.10625478580313344
schaefer_300,300,0.051137621544336626
schaefer_301,301,0.24629346633436858
schaefer_302,302,0.005223626537104145
schaefer_303,303,0.16015641233853334
schaefer_304,304,0.1253145701795753
schaefer_305,305,0.07896654517532557
schaefer_306,306,0.12405753002600298
schaefer_307,307,0.1426955960370087
schaefer_308,308,0.022486217032534186
schaefer_309,309,0.029006524825645256
schaefer_310,310,0.19468820136836024
schaefer_311,311,0.14882698694974633
schaefer_312,312,0.015241948006556346
schaefer_313,313,0.07331215106978552
schaefer_314,314,0.14055932483100286
schaefer_315,315,0.05206615047798758
schaefer_316,316,0.16740030997581998
schaefer_317,317,0.10365561739567697
schaefer_318,318,-0.030587394196138793
schaefer_319,319,-0.09061717168327733
schaefer_320,320,0.1362992318093449
schaefer_321,321,0.07547084017519516
schaefer_322,322,0.12100684460927598
schaefer_323,323,-0.12164534176399328
schaefer_324,324,0.044723024434099534
schaefer_325,325,0.02067855459053952
schaefer_326,326,0.024256363288625103
schaefer_327,327,-0.13373116306781135
schaefer_328,328,0.042726577418446904
