area,effective_dims,label
schaefer_230,4.552629911171675,230
schaefer_394,4.568117954440066,394
schaefer_226,4.575852195852315,226
schaefer_282,4.611142091291202,282
schaefer_362,4.61667108594646,362
schaefer_286,4.643176525757854,286
schaefer_196,4.676991770981149,196
schaefer_86,4.694715704971569,86
schaefer_25,4.738231218877124,25
schaefer_170,4.742620943419003,170
schaefer_353,4.754414529008295,353
schaefer_30,4.756987046715798,30
schaefer_265,4.757133727005784,265
schaefer_15,4.797346728642256,15
schaefer_289,4.802105442537168,289
schaefer_171,4.808232128911025,171
schaefer_12,4.813877381515243,12
schaefer_292,4.827770747450058,292
schaefer_298,4.855223724156844,298
schaefer_93,4.862582619148794,93
schaefer_58,4.863136303530961,58
schaefer_252,4.863740316100656,252
schaefer_243,4.873061367878663,243
schaefer_56,4.882769779607868,56
schaefer_50,4.884788356855855,50
schaefer_113,4.890077444003325,113
schaefer_193,4.8953378049948775,193
schaefer_318,4.897047461678765,318
schaefer_227,4.9011344491896125,227
schaefer_18,4.915314619958791,18
schaefer_9,4.931796588506726,9
schaefer_352,4.947243053594271,352
schaefer_357,4.954444554246468,357
schaefer_396,4.968048257027023,396
schaefer_94,4.973473330975871,94
schaefer_195,4.986872648883978,195
schaefer_284,4.991332703564028,284
schaefer_246,4.994138826223232,246
schaefer_182,5.004735128412046,182
schaefer_255,5.024896973103908,255
schaefer_270,5.028889534090647,270
schaefer_67,5.040079107794731,67
schaefer_27,5.070188506793056,27
schaefer_87,5.083026565674404,87
schaefer_29,5.099049239594079,29
schaefer_387,5.102141167175012,387
schaefer_79,5.132339261045567,79
schaefer_272,5.143019015983134,272
schaefer_133,5.150041953006958,133
schaefer_65,5.151250270267207,65
schaefer_186,5.162502248230751,186
schaefer_225,5.162670215363242,225
schaefer_192,5.170912405662982,192
schaefer_112,5.172275329725376,112
schaefer_183,5.177072549798416,183
schaefer_251,5.1934071792690695,251
schaefer_41,5.196981924556636,41
schaefer_54,5.207794243740612,54
schaefer_400,5.208063396500495,400
schaefer_215,5.219431234557279,215
schaefer_363,5.225700288466756,363
schaefer_47,5.2568940150974255,47
schaefer_43,5.265504644128268,43
schaefer_173,5.304813459512247,173
schaefer_51,5.315879551585984,51
schaefer_6,5.328776858045995,6
schaefer_350,5.330630687942448,350
schaefer_176,5.340592090757541,176
schaefer_261,5.348135848105034,261
schaefer_389,5.348826934337505,389
schaefer_349,5.355607679174709,349
schaefer_185,5.370740223783498,185
