run1,run2,run3,run4
0.0317636,0.0831339,0.0713443,0.0251122
0.0371323,0.142499,0.119048,0.0837653
0.038926,0.0886354,0.0418316,0.15588
0.0143429,0.121239,0.0833825,0.0379481
0.0503314,0.148569,0.0735695,0.0852157
0.0243434,0.0523959,0.104207,0.0916174
0.0346726,0.119379,0.061169,0.101637
0.00480899,0.0254856,0.117914,0.0569058
0.0246494,0.113447,0.0464134,0.0659854
0.0315765,0.0358699,0.100151,0.0494402
0.0221614,0.162579,0.0629315,0.126339
0.0418496,0.0477757,0.0934489,0.0357947
0.039517,0.125312,0.047949,0.0532833
0.0190888,0.0417764,0.0933326,0.0701485
0.0242667,0.0579083,0.0543344,0.0587474
0.0260927,0.10106,0.0919006,0.0846501
0.0720063,0.0987543,0.0638206,0.0691782
0.0344668,0.050221,0.0574379,0.0842481
0.0237559,0.0549779,0.0391733,0.103668
0.0117722,0.120903,0.0919513,0.0665832
0.025523,0.110835,0.0675906,0.0711546
0.0106536,0.0615602,0.0744405,0.0567017
0.0580137,0.079028,0.0991666,0.0843633
0.0532171,0.106013,0.0301669,0.0365335
0.011699,0.120119,0.138107,0.0847465
0.0562404,0.0569098,0.0635377,0.103049
0.018206,0.079786,0.104348,0.0688213
0.0791612,0.0869438,0.06292,0.0768706
0.0255321,0.106036,0.0774823,0.019764
0.0401137,0.0491273,0.061571,0.0870311
0.058039,0.115948,0.101715,0.0622557
0.114941,0.0882099,0.0525213,0.0758999
0.0320479,0.108193,0.0811274,0.0915372
0.0847651,0.0755613,0.0179649,0.107252
0.0245965,0.0402776,0.119613,0.0922533
0.0975772,0.13273,0.0454218,0.098004
0.0131436,0.148792,0.109366,0.123939
0.0982147,0.0572349,0.0674661,0.0752617
0.105324,0.153187,0.0720671,0.085965
0.020185,0.035486,0.122965,0.206997
0.0420156,0.0611138,0.0131231,0.0661681
0.058274,0.0220112,0.0911023,0.0660651
0.0882536,0.136234,0.0360409,0.103123
0.0153135,0.0909914,0.102281,0.0391152
0.055743,0.0956702,0.030979,0.0774007
0.0143273,0.024634,0.116712,0.0495447
0.0449812,0.143929,0.035905,0.0584739
0.0135971,0.0459039,0.127033,0.0709981
0.0318121,0.0714075,0.0251822,0.153066
0.0684865,0.0252157,0.0782928,0.0482035
0.0450927,0.122737,0.0627289,0.0397535
0.0132549,0.0934776,0.109288,0.127096
0.0458038,0.0869082,0.048006,0.063853
0.0474096,0.0791348,0.104399,0.0805538
0.026626,0.0999488,0.0245345,0.0993845
0.0287357,0.131423,0.110682,0.0569216
0.0138425,0.0479421,0.0596022,0.116388
0.0248664,0.127893,0.119979,0.0726218
0.0157824,0.034839,0.11602,0.100612
0.0193705,0.123011,0.0268572,0.0565313
0.04145,0.0245748,0.118105,0.0758288
0.00972644,0.130547,0.030258,0.0482805
0.0185558,0.0433104,0.167337,0.0863069
0.0114097,0.12591,0.019573,0.111615
0.0254085,0.0598611,0.148383,0.0522532
0.0126975,0.0893396,0.0559191,0.0421187
0.0375963,0.127197,0.106884,0.12828
0.00938656,0.13325,0.058676,0.107036
0.0394845,0.059463,0.112652,0.0496003
0.0100224,0.131466,0.11348,0.0951847
0.0520087,0.024255,0.0977489,0.0781673
0.04712,0.0834091,0.149239,0.0631779
0.0357586,0.0593792,0.0465408,0.0868287
0.0299207,0.142415,0.118939,0.0569824
0.0136287,0.168996,0.113742,0.112317
0.0648065,0.0642614,0.0950915,0.0390832
0.0140661,0.10241,0.0942341,0.0598446
0.0327377,0.112914,0.10555,0.0981248
0.0284034,0.0590004,0.0592646,0.108283
0.00808908,0.0686169,0.151981,0.0572222
0.0225422,0.142823,0.042246,0.0343991
0.0119062,0.126992,0.120624,0.125738
0.0364915,0.168746,0.0137226,0.0755652
0.00985473,0.0638967,0.136841,0.112995
0.0538771,0.165936,0.0492758,0.0647714
0.0251905,0.0341345,0.160592,0.0581665
0.0157077,0.148263,0.0683108,0.108034
0.025581,0.0805533,0.116042,0.0311802
0.0103976,0.144241,0.12475,0.0711278
0.0204623,0.148349,0.0422297,0.0266249
0.00905956,0.0614085,0.078533,0.0711366
0.00447527,0.123942,0.134576,0.0721021
0.0338369,0.0653308,0.111075,0.0616762
0.0174808,0.138163,0.097457,0.0925057
0.0425299,0.0887232,0.0366183,0.0809982
0.0388964,0.13242,0.088594,0.071309
0.0341384,0.108094,0.1025,0.0551709
0.0249461,0.15271,0.0744495,0.0871937
0.0552246,0.0489821,0.0928876,0.0698977
0.0528957,0.211391,0.0370594,0.112854
0.0099603,0.0596656,0.116211,0.0409816
0.0360376,0.168232,0.0373884,0.138388
0.021365,0.0144108,0.13372,0.0385022
0.0278017,0.148369,0.0524064,0.145138
0.0438864,0.149487,0.162699,0.0925731
0.0283021,0.0678104,0.120378,0.0538652
