label,x,y,z,dtseries_row_i,left_hemi,first_rdm_corr,replication_rdm_corr,y_squared
34.0,-36.05682226197909,-22.91511911206541,7.976709738241888,21688.150442477876,1.0,0.03126220510614288,0.07501473047794457,525.1026839201453
35.0,-38.26655792236328,-7.800299957344929,12.75721817917294,10201.648888888889,1.0,0.06543370313442574,0.1183566870332775,60.84467942455531
36.0,-35.274307401252514,-26.259848762281013,18.065500444354434,12919.315151515151,1.0,-0.06469554976033183,0.04946530551309172,689.5796570178717
37.0,-56.003763762997906,-38.444517390828736,16.7714777462919,7924.070422535211,1.0,0.015563502359658525,0.12009083343054162,1477.980917413733
38.0,-40.8947062673448,-35.254600416255904,14.738158141510397,8852.924050632912,1.0,0.044831241013400816,0.1528007102278352,1242.886850509871
39.0,-46.76311216856304,-15.366519488786397,16.358583801671077,16130.098684210527,1.0,-0.06107060336588229,0.13130837692385391,236.12992119925212
40.0,-58.678254071403956,-4.534862143327208,12.254892638150384,16923.758823529413,1.0,-0.024702063354412992,0.1096587600543514,20.56497465898224
41.0,-47.61252958433969,-25.465774723461696,18.978941321372986,15338.607142857143,1.0,0.03135103717864746,0.11919484044864813,648.5056822661006
42.0,-57.525221583354906,-19.45638812880918,20.359052267419287,15723.168674698794,1.0,-0.024068320014663528,0.1732070429856575,378.5510390188668
43.0,-57.20575320415008,-4.450994098654542,22.97329524235848,16531.358974358973,1.0,0.0053356047158729285,0.1502039058923016,19.81134846625756
44.0,-60.92603968060206,-12.060912109556652,29.776022608318026,16064.214285714286,1.0,-0.008963804385320412,0.15900769002861784,145.46560091445028
45.0,-50.73806768948914,-10.372338291074408,28.63089581786609,16325.672131147541,1.0,0.03815071837038385,0.0455739646334482,107.58540162448837
46.0,-53.34997084793771,-21.44159431821981,38.691969610323575,13605.573248407643,1.0,-0.033731710452031466,0.22024117417545216,459.741966907116
47.0,-48.24751021106791,-8.804261429709678,41.07851983301388,11659.217391304348,1.0,0.16178783233341631,0.2153248822910183,77.5150193226735
48.0,-46.59952385969988,-16.806013580382338,38.227507718904754,10228.842519685038,1.0,0.014852156742023198,0.11971947533122781,282.44209246399555
49.0,-8.841333629219395,-14.646942964784659,45.64355539212561,2681.56050955414,1.0,0.1548292893500404,0.15293918498329526,214.5329382136548
50.0,-38.9128800034523,-15.298571813851595,46.157748609781265,5302.6640625,1.0,0.03926845837627669,0.15297935353423875,234.0462995435745
51.0,-46.684391375950405,-19.89622849055699,52.08233893258231,6272.1,1.0,0.04997471324791895,0.1059677535805554,395.85990814845167
52.0,-44.51837741806213,-30.405899458197485,53.219455946964096,5937.474103585658,1.0,0.07809620786904457,0.16133853681179985,924.5187218620141
53.0,-37.03227366758197,-25.498946757798784,49.52913700060898,6271.91011235955,1.0,0.06917333729492318,0.01953880567544179,650.1962857570571
54.0,-9.570258670978331,-37.15860581130124,53.07366467593761,2367.6516853932585,1.0,0.08306585424978158,0.11427736797846344,1380.7619858396704
55.0,-4.786029439611533,-22.49151052887907,54.25706206646162,2784.618556701031,1.0,0.14084330457137692,-0.04523775395990892,505.868045870678
56.0,-4.765091714651688,-8.105076038967008,58.968775168709136,3065.4239130434785,1.0,0.08965864448354886,0.08093477336166167,65.69225759743712
57.0,-33.5600575085344,-19.375391707338135,60.05587431480144,3871.2112068965516,1.0,0.16310439137640428,0.11167729298350201,375.4058038127874
58.0,-30.147181963920595,-44.97997579574585,59.05958757400513,9743.84375,1.0,0.1192816796621183,0.16406006909074078,2023.1982225858826
59.0,-32.09830665588379,-30.2887069952749,59.15541831246258,5605.759124087591,1.0,0.09946661778486225,0.10553633751234891,917.4057714456146
60.0,-29.56986607245679,-37.247272011618946,61.28897951234062,5488.408805031447,1.0,0.11733480583122281,0.14549255199856043,1387.3592723075321
61.0,-25.078929687948786,-11.532930292802698,60.14570442648495,4287.117647058823,1.0,0.13029791309422756,0.28343875013875197,133.00848113864612
