TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
12,58,45,11C-18C-25A,21,1.0,11.0,134.89348,135.92037963867188,138.68429565429688,2.7658631801605225,27.0,15.0,8.524894,134.89348,1,2.7658631801605225,138.6862428188324,3.7927628188323865,26.1,4
13,4,75,12B-20B-23B-27C-29C,3,1.0,12.0,147.23477,148.25494384765625,150.48455810546875,2.2292990684509277,3.0,34.0,9.105106,147.23477,1,2.2292990684509277,150.48424291610718,3.2494729161071803,3.0,4
14,61,55,7B-26B,23,1.0,13.0,159.62526,160.6488800048828,163.81788635253906,3.1688098907470703,30.0,52.0,7.8506985,159.62526,1,3.1688098907470703,163.81768989562988,4.1924298956298856,33.55,4
15,43,75,11B-19B-24A-26A,18,1.0,14.0,171.69276,172.71267700195312,176.83448791503906,4.121440410614014,39.0,6.0,6.608846,171.69276,1,4.121440410614014,176.83411741256714,5.141357412567146,32.25,4
16,11,20,12C-17C-23C-28C,4,1.0,15.0,183.47995,184.50613403320312,189.5013885498047,,7.0,78.0,5.914579,183.47995,1,5.0,,6.0,2.2,4
17,36,60,1C-7C-15C,12,1.0,16.0,195.45424,196.47592163085938,200.91763305664062,4.441590785980225,25.0,65.0,6.95527,195.45424,1,4.441590785980225,200.9175124168396,5.463272416839601,21.6,4
18,11,45,14B-21C-25C,6,1.0,17.0,207.89761,208.91893005371094,211.3345947265625,2.4156346321105957,11.0,27.0,8.889982,207.89761,1,2.4156346321105957,211.33456468582153,3.436954685821547,4.95,4
19,61,45,10A-11A,22,1.0,18.0,220.2509,221.27304077148438,224.46804809570312,3.2060821056365967,34.0,71.0,7.5502887,220.2509,1,3.2060821056365967,224.47912287712097,4.22822287712097,27.45,4
20,71,55,5B-18A,27,1.0,19.0,232.04749,233.06752014160156,236.10154724121094,3.0452303886413574,38.0,25.0,7.4659657,232.04749,1,3.0452303886413574,236.11275053024292,4.0652605302429095,39.05,4
21,11,75,6B-18B-22C-24C-29A,7,1.0,20.0,243.59766,244.62197875976562,247.93487548828125,3.3241043090820312,10.0,13.0,8.039634,243.59766,1,3.3241043090820312,247.94608306884766,4.348423068847666,8.25,4
22,39,65,1A-15A-26C,16,1.0,21.0,256.0106,257.0325927734375,260.9013366699219,3.8795883655548096,31.0,28.0,7.483847,256.0106,1,3.8795883655548096,260.9121811389923,4.901581138992299,25.35,4
23,18,50,2C-16C-22B-28A,10,1.0,22.0,268.41107,269.4318542480469,271.85125732421875,2.4303526878356934,9.0,12.0,8.737711,268.41107,1,2.4303526878356934,271.86220693588257,3.451136935882573,9.0,4
24,18,25,14A-23A,9,1.0,23.0,280.6141,281.63671875,283.4679260253906,1.8272254467010498,10.0,20.0,9.202036,280.6141,1,1.8272254467010498,283.46394419670105,2.849844196701042,4.5,4
25,4,50,4C-17B,2,1.0,24.0,292.7066,293.7247619628906,297.73492431640625,4.020937442779541,14.0,80.0,7.440621,292.7066,1,4.020937442779541,297.74569940567017,5.039099405670186,2.0,4
26,43,60,2A-7A-9A-15B,17,1.0,25.0,305.20004,306.2218322753906,309.8348083496094,3.6239659786224365,37.0,22.0,7.847288,305.20004,1,3.6239659786224365,309.84579825401306,4.64575825401306,25.8,4
27,36,30,3C-20A-22A,11,1.0,26.0,317.70605,318.726318359375,320.6853332519531,1.9701287746429443,21.0,35.0,9.01019,317.70605,1,1.9701287746429443,320.69644713401794,2.9903971340179396,10.8,4
28,11,25,12A-27B-28B-30B,5,1.0,27.0,329.73383,330.7546081542969,334.6348571777344,3.8910889625549316,10.0,66.0,6.855397,329.73383,1,3.8910889625549316,334.6456971168518,4.911867116851795,2.75,4
29,58,30,13C-30A,19,1.0,28.0,341.51514,342.5387268066406,347.5348815917969,,21.0,68.0,6.0995917,341.51514,1,5.0,,6.0,17.4,4
30,71,75,8B,28,1.0,29.0,353.67078,354.6936950683594,357.75164794921875,3.0687451362609863,56.0,13.0,8.255484,353.67078,1,3.0687451362609863,357.76244020462036,4.091660204620382,53.25,4
