TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,choice,rt,time,random_jitter,end_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
6,16,20,14C-17A-20C-27A,8,1.0,5.0,60.759106,61.78495,8.0,2.7678635,64.540535,0.2777383,64.54053497314453,60.759106,1,2.7678635120391846,64.55281,3.7937046689453098,3.2,2
7,11,25,12A-27B-28B-30B,5,1.0,6.0,73.08643,74.11306,4.0,3.3101356,77.423874,-0.268403,77.42387390136719,73.08643,1,3.31013560295105,77.423195,4.336764885253913,2.75,2
8,36,30,3C-20A-22A,11,1.0,7.0,84.88432,85.89839,12.0,3.50348,89.39065,0.11601081,89.3906478881836,84.88432,1,3.5034799575805664,89.40187,4.51755072753906,10.8,2
9,71,75,8B,28,1.0,8.0,97.03316,98.05919,65.0,3.0426824,101.09082,-0.21815236,101.0908203125,97.03316,1,3.042682409286499,101.10187,4.068707675781255,53.25,2
10,76,65,8C-19A-24B,29,1.0,9.0,108.85911,109.88378,73.0,3.3343368,113.20731,-3.3238714e-05,113.20731353759766,108.85911,1,3.334336757659912,113.21812,4.359006760253905,49.4,2
11,64,25,6A-21A,24,1.0,10.0,120.909935,121.9221,18.0,3.9462447,125.85789,0.016247993,125.8578872680664,120.909935,1,3.946244716644287,125.86834,4.958404538574214,16.0,2
12,4,25,6C-29B-30C,1,1.0,11.0,132.95306,133.96683,1.0,1.9512707,135.90732,0.47309327,135.90731811523438,132.95306,1,1.9512706995010376,135.91809,2.9650308203125064,1.0,2
13,4,75,12B-20B-23B-27C-29C,3,1.0,12.0,145.45131,146.46315,2.0,4.671601,151.124,-0.30004808,151.12399291992188,145.45131,1,4.671600818634033,151.13475,5.683440366210931,3.0,2
14,18,25,14A-23A,9,1.0,13.0,157.18634,158.21025,7.0,4.474866,162.67403,-0.15621623,162.6740264892578,157.18634,1,4.474865913391113,162.68512,5.498779628906249,4.5,2
15,0,0,0.0,0,1.0,14.0,169.07321,,,,--,0.41808137,,169.07321,1,5.0,,6.0,0.0,2
16,36,75,4B-5A-13B-16B,14,1.0,15.0,181.51544,182.52924,28.0,4.2068586,186.72403,0.18940324,186.72402954101562,181.51544,1,4.2068586349487305,186.7361,5.22065924316405,27.0,2
17,58,30,13C-30A,19,1.0,16.0,193.731,194.75607,20.0,2.9456198,197.69069,0.41675058,197.69068908691406,193.731,1,2.945619821548462,197.70169,3.9706906738281305,17.4,2
18,58,40,10C-13A-19C-21B,20,1.0,17.0,206.18805,207.20003,30.0,2.7233844,209.92403,0.3350184,209.9240264892578,206.18805,1,2.723384380340576,209.92342,3.7353661376953085,23.2,2
19,36,60,1C-7C-15C,12,1.0,18.0,218.56418,219.58727,29.0,3.8696024,223.45737,-0.14451857,223.45736694335938,218.56418,1,3.8696024417877197,223.45686,4.892683403320319,21.6,2
20,71,55,5B-18A,27,1.0,19.0,230.47421,231.49695,50.0,4.121251,235.6074,0.3888606,235.60740661621094,230.47421,1,4.121251106262207,235.6182,5.143984580078126,39.05,2
