TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
15,61,45,10A-11A,22,1.0,14.0,171.72554,172.7522430419922,174.96510314941406,2.225778818130493,26.0,32.0,9.138292,171.72554,1,2.225778818130493,174.97802186012268,3.2524818601226855,27.45,4
16,76,65,8C-19A-24B,29,1.0,15.0,184.14209,185.16151428222656,188.68174743652344,3.520021438598633,47.0,21.0,7.550672,184.14209,1,3.520021438598633,188.6815357208252,4.539445720825199,49.4,4
17,58,45,11C-18C-25A,21,1.0,16.0,196.27104,197.2832489013672,200.19842529296875,2.9149818420410156,20.0,12.0,7.6396737,196.27104,1,2.9149818420410156,200.1982307434082,3.927190743408204,26.1,4
18,4,50,4C-17B,2,1.0,17.0,207.86787,208.8927459716797,210.73165893554688,1.8383147716522217,1.0,3.0,8.806839,207.86787,1,1.8383147716522217,210.7310607433319,2.8631907433318986,2.0,4
19,36,70,3A-5C-10B,13,1.0,18.0,219.57489,220.60137939453125,224.0983123779297,3.5080318450927734,23.0,31.0,7.884442,219.57489,1,3.5080318450927734,224.10941123962402,4.534521239624013,25.2,4
20,43,75,11B-19B-24A-26A,18,1.0,19.0,232.00906,233.02008056640625,237.6485595703125,4.639420986175537,34.0,59.0,5.9061646,232.00906,1,4.639420986175537,237.6595015525818,5.650441552581782,32.25,4
21,11,75,6B-18B-22C-24C-29A,7,1.0,20.0,243.59071,244.6051025390625,246.9817657470703,2.3759429454803467,3.0,11.0,8.975878,243.59071,1,2.3759429454803467,246.98104548454285,3.3903354845428453,8.25,4
22,79,65,8A,31,1.0,21.0,255.99066,257.0160217285156,261.382080078125,4.376937389373779,48.0,28.0,6.6076665,255.99066,1,4.376937389373779,261.3929591178894,5.402299117889413,51.35,4
23,71,75,8B,28,1.0,22.0,268.01566,269.0411682128906,271.93182373046875,2.9015557765960693,52.0,24.0,7.970134,268.01566,1,2.9015557765960693,271.9427239894867,3.927063989486669,53.25,4
24,64,25,6A-21A,24,1.0,23.0,279.93915,280.9614562988281,285.29840087890625,4.3477935791015625,10.0,70.0,6.896698,279.93915,1,4.3477935791015625,285.3092498779297,5.370099877929704,16.0,4
25,39,60,9C-25B,15,1.0,24.0,292.2213,293.24658203125,296.6149597167969,3.368419885635376,23.0,78.0,7.8287787,292.2213,1,3.368419885635376,296.6150019168854,4.393701916885391,23.4,4
26,36,60,1C-7C-15C,12,1.0,25.0,304.4703,305.4959716796875,309.1318359375,3.6350297927856445,21.0,10.0,7.5833235,304.4703,1,3.6350297927856445,309.13100147247314,4.660701472473136,21.6,4
