subject_id,binary_id,trinary_id,target_choice,trinary_group,catch,decoy_choice,rt,amountA,probA,amountB,probB,EVA,EVB,avg_amounts,avg_probs,amountC,probC,EVC
d331077c-1fef-4125-8c76-713d77d3c50e,6.0,6.0,0,0,0.0,0.0,5403.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
e59cfa13-2515-44e3-a0bd-39b5674668d1,6.0,6.0,1,0,0.0,0.0,2018.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
e59cfa13-2515-44e3-a0bd-39b5674668d1,6.0,6.0,1,0,0.0,0.0,1325.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
e59cfa13-2515-44e3-a0bd-39b5674668d1,6.0,6.0,1,0,0.0,0.0,1176.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
828dcae6-9f2a-4cba-b249-0a95d2887eea,6.0,6.0,1,0,0.0,0.0,3293.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
828dcae6-9f2a-4cba-b249-0a95d2887eea,6.0,6.0,1,0,0.0,0.0,4624.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
828dcae6-9f2a-4cba-b249-0a95d2887eea,6.0,6.0,1,0,0.0,0.0,2916.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
c0eec679-0e2d-40b6-946a-bc307eeeb08a,6.0,6.0,0,0,0.0,0.0,4173.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
c0eec679-0e2d-40b6-946a-bc307eeeb08a,6.0,6.0,1,0,0.0,0.0,14236.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
c0eec679-0e2d-40b6-946a-bc307eeeb08a,6.0,6.0,0,0,0.0,0.0,1265.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,6.0,6.0,1,0,0.0,0.0,3738.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,6.0,6.0,1,0,0.0,0.0,3856.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,6.0,6.0,1,0,0.0,0.0,4101.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
db807547-e7a4-44fa-87cb-6be1690610f0,6.0,6.0,0,0,0.0,0.0,3516.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
db807547-e7a4-44fa-87cb-6be1690610f0,6.0,6.0,1,0,0.0,0.0,1930.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
