subject_id,binary_id,trinary_id,actual_choice,target_choice,trinary_group,catch,decoy_choice,competitor_choice,rt
50052cbf-eedb-4b9a-bc19-fe6cde12d8bc,9.0,9.0,A,1,1,0.0,0,0,1894.0
50052cbf-eedb-4b9a-bc19-fe6cde12d8bc,9.0,9.0,B,0,1,0.0,0,1,8248.0
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,9.0,9.0,B,0,0,0.0,0,1,9068.0
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,9.0,9.0,B,0,0,0.0,0,1,5145.0
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,9.0,9.0,B,0,0,0.0,0,1,3333.0
0515c162-d4c4-4d6d-88d6-80d2de1765c9,9.0,9.0,A,1,0,0.0,0,0,640.0
0515c162-d4c4-4d6d-88d6-80d2de1765c9,9.0,9.0,A,1,0,0.0,0,0,818.0
0515c162-d4c4-4d6d-88d6-80d2de1765c9,9.0,9.0,A,1,0,0.0,0,0,643.0
471924a9-ee50-4f6a-a87f-cb56913a24c3,9.0,9.0,A,1,1,0.0,0,0,7692.0
471924a9-ee50-4f6a-a87f-cb56913a24c3,9.0,9.0,A,1,1,0.0,0,0,6956.0
471924a9-ee50-4f6a-a87f-cb56913a24c3,9.0,9.0,B,0,1,0.0,0,1,3495.0
1dd81ced-dc40-4d4f-9d15-e360bfe4bdce,9.0,9.0,A,1,1,0.0,0,0,4389.0
1dd81ced-dc40-4d4f-9d15-e360bfe4bdce,9.0,9.0,A,1,1,0.0,0,0,5078.0
1dd81ced-dc40-4d4f-9d15-e360bfe4bdce,9.0,9.0,C,0,1,0.0,1,0,8024.0
6192926d-37ed-49cd-9399-7ac50c7c25c0,9.0,9.0,B,0,1,0.0,0,1,3589.0
6192926d-37ed-49cd-9399-7ac50c7c25c0,9.0,9.0,B,0,1,0.0,0,1,3162.0
6192926d-37ed-49cd-9399-7ac50c7c25c0,9.0,9.0,B,0,1,0.0,0,1,8072.0
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,9.0,9.0,B,0,0,0.0,0,1,3125.0
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,9.0,9.0,B,0,0,0.0,0,1,9971.0
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,9.0,9.0,B,0,0,0.0,0,1,3153.0
cbfe9812-b6c0-4bbb-9cda-160da3da0211,9.0,9.0,A,1,1,0.0,0,0,10861.0
cbfe9812-b6c0-4bbb-9cda-160da3da0211,9.0,9.0,A,1,1,0.0,0,0,6981.0
cbfe9812-b6c0-4bbb-9cda-160da3da0211,9.0,9.0,A,1,1,0.0,0,0,10011.0
9f4864a0-f288-4233-97bb-7895ea53da8d,9.0,9.0,A,1,0,0.0,0,0,1677.0
9f4864a0-f288-4233-97bb-7895ea53da8d,9.0,9.0,A,1,0,0.0,0,0,1393.0
9f4864a0-f288-4233-97bb-7895ea53da8d,9.0,9.0,A,1,0,0.0,0,0,1472.0
664ded3d-fe75-41d7-8a08-2596a5bf2484,9.0,9.0,B,0,0,0.0,0,1,9080.0
664ded3d-fe75-41d7-8a08-2596a5bf2484,9.0,9.0,B,0,0,0.0,0,1,17852.0
664ded3d-fe75-41d7-8a08-2596a5bf2484,9.0,9.0,A,1,0,0.0,0,0,4744.0
306418c8-50f7-49c0-ac38-5eb3399b6a86,9.0,9.0,A,1,0,0.0,0,0,4408.0
306418c8-50f7-49c0-ac38-5eb3399b6a86,9.0,9.0,B,0,0,0.0,0,1,5572.0
306418c8-50f7-49c0-ac38-5eb3399b6a86,9.0,9.0,B,0,0,0.0,0,1,8302.0
3975af8a-b2cb-4111-bdc5-9d989e64c4ac,9.0,9.0,A,1,1,0.0,0,0,4039.0
3975af8a-b2cb-4111-bdc5-9d989e64c4ac,9.0,9.0,A,1,1,0.0,0,0,4918.0
3975af8a-b2cb-4111-bdc5-9d989e64c4ac,9.0,9.0,A,1,1,0.0,0,0,8434.0
d74af97c-a382-4c34-9edb-a5864ebe3b0e,9.0,9.0,A,1,0,0.0,0,0,2738.0
d74af97c-a382-4c34-9edb-a5864ebe3b0e,9.0,9.0,A,1,0,0.0,0,0,5345.0
d74af97c-a382-4c34-9edb-a5864ebe3b0e,9.0,9.0,A,1,0,0.0,0,0,3964.0
6b26cfa6-d1c6-4455-98b2-55b1783f2cd4,9.0,9.0,A,1,1,0.0,0,0,1930.0
6b26cfa6-d1c6-4455-98b2-55b1783f2cd4,9.0,9.0,A,1,1,0.0,0,0,1505.0
6b26cfa6-d1c6-4455-98b2-55b1783f2cd4,9.0,9.0,A,1,1,0.0,0,0,1613.0
41578bda-270a-4ced-a297-3451d0874fca,9.0,9.0,A,1,1,0.0,0,0,12379.0
41578bda-270a-4ced-a297-3451d0874fca,9.0,9.0,B,0,1,0.0,0,1,5217.0
41578bda-270a-4ced-a297-3451d0874fca,9.0,9.0,A,1,1,0.0,0,0,10173.0
86117b72-b50c-4fb3-ba28-64a3ade786ac,9.0,9.0,A,1,0,0.0,0,0,3558.0
86117b72-b50c-4fb3-ba28-64a3ade786ac,9.0,9.0,A,1,0,0.0,0,0,3284.0
86117b72-b50c-4fb3-ba28-64a3ade786ac,9.0,9.0,A,1,0,0.0,0,0,2439.0
1a080826-2398-4f43-ab82-e5d0240eedcb,9.0,9.0,A,1,0,0.0,0,0,3017.0
1a080826-2398-4f43-ab82-e5d0240eedcb,9.0,9.0,A,1,0,0.0,0,0,2203.0
1a080826-2398-4f43-ab82-e5d0240eedcb,9.0,9.0,A,1,0,0.0,0,0,4109.0
197816d4-72ff-406a-aa8d-71f44d0031f7,9.0,9.0,B,0,0,0.0,0,1,3504.0
197816d4-72ff-406a-aa8d-71f44d0031f7,9.0,9.0,A,1,0,0.0,0,0,3094.0
197816d4-72ff-406a-aa8d-71f44d0031f7,9.0,9.0,B,0,0,0.0,0,1,1927.0
841f6a97-c9d3-4c02-86ca-e315512d4768,9.0,9.0,B,0,1,0.0,0,1,18830.0
841f6a97-c9d3-4c02-86ca-e315512d4768,9.0,9.0,A,1,1,0.0,0,0,7492.0
841f6a97-c9d3-4c02-86ca-e315512d4768,9.0,9.0,A,1,1,0.0,0,0,8419.0
0b862812-4eae-4433-9381-864ef3a2b073,9.0,9.0,B,0,1,0.0,0,1,7378.0
0b862812-4eae-4433-9381-864ef3a2b073,9.0,9.0,A,1,1,0.0,0,0,4991.0
0b862812-4eae-4433-9381-864ef3a2b073,9.0,9.0,B,0,1,0.0,0,1,7445.0
cb5ce584-a459-42d8-9906-a854aab80827,9.0,9.0,B,0,1,0.0,0,1,4634.0
cb5ce584-a459-42d8-9906-a854aab80827,9.0,9.0,B,0,1,0.0,0,1,3797.0
cb5ce584-a459-42d8-9906-a854aab80827,9.0,9.0,B,0,1,0.0,0,1,5510.0
e0a357de-392a-4b4a-8b50-455f6c02a010,9.0,9.0,B,0,0,0.0,0,1,2716.0
e0a357de-392a-4b4a-8b50-455f6c02a010,9.0,9.0,B,0,0,0.0,0,1,2827.0
e0a357de-392a-4b4a-8b50-455f6c02a010,9.0,9.0,B,0,0,0.0,0,1,2119.0
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,9.0,9.0,B,0,0,0.0,0,1,6393.0
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,9.0,9.0,B,0,0,0.0,0,1,3319.0
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,9.0,9.0,B,0,0,0.0,0,1,3148.0
d185a752-95e5-41b9-9923-1be62c42d5ca,9.0,9.0,A,1,1,0.0,0,0,7885.0
d185a752-95e5-41b9-9923-1be62c42d5ca,9.0,9.0,A,1,1,0.0,0,0,3336.0
d185a752-95e5-41b9-9923-1be62c42d5ca,9.0,9.0,A,1,1,0.0,0,0,2758.0
859cd32e-1a86-486f-9329-4b6f28585b9e,9.0,9.0,B,0,0,0.0,0,1,3215.0
859cd32e-1a86-486f-9329-4b6f28585b9e,9.0,9.0,B,0,0,0.0,0,1,2029.0
859cd32e-1a86-486f-9329-4b6f28585b9e,9.0,9.0,B,0,0,0.0,0,1,1563.0
0f6778e2-6340-4412-acd5-159d88da9370,9.0,9.0,A,1,1,0.0,0,0,5856.0
0f6778e2-6340-4412-acd5-159d88da9370,9.0,9.0,A,1,1,0.0,0,0,4431.0
0f6778e2-6340-4412-acd5-159d88da9370,9.0,9.0,B,0,1,0.0,0,1,10344.0
8096b4eb-f983-4e8d-8b05-e4a0828db6bf,9.0,9.0,B,0,0,0.0,0,1,2521.0
8096b4eb-f983-4e8d-8b05-e4a0828db6bf,9.0,9.0,B,0,0,0.0,0,1,3974.0
8096b4eb-f983-4e8d-8b05-e4a0828db6bf,9.0,9.0,B,0,0,0.0,0,1,1831.0
d139fd97-7d25-46cc-8d4b-ecde8190ff27,9.0,9.0,B,0,1,0.0,0,1,20945.0
d139fd97-7d25-46cc-8d4b-ecde8190ff27,9.0,9.0,C,0,1,0.0,1,0,5435.0
d139fd97-7d25-46cc-8d4b-ecde8190ff27,9.0,9.0,A,1,1,0.0,0,0,15565.0
d8d4dec0-5008-4f83-8f65-fe5e80244341,9.0,9.0,A,1,1,0.0,0,0,6266.0
d8d4dec0-5008-4f83-8f65-fe5e80244341,9.0,9.0,A,1,1,0.0,0,0,7551.0
d8d4dec0-5008-4f83-8f65-fe5e80244341,9.0,9.0,A,1,1,0.0,0,0,5080.0
4b866b4b-b1c9-4174-b5ba-396d8e114625,9.0,9.0,B,0,0,0.0,0,1,4023.0
4b866b4b-b1c9-4174-b5ba-396d8e114625,9.0,9.0,B,0,0,0.0,0,1,4074.0
4b866b4b-b1c9-4174-b5ba-396d8e114625,9.0,9.0,A,1,0,0.0,0,0,4346.0
5f93f61c-8691-442b-9f60-626d11a73ef7,9.0,9.0,A,1,0,0.0,0,0,2009.0
5f93f61c-8691-442b-9f60-626d11a73ef7,9.0,9.0,B,0,0,0.0,0,1,1347.0
5f93f61c-8691-442b-9f60-626d11a73ef7,9.0,9.0,A,1,0,0.0,0,0,1958.0
68a31890-b93c-41a2-96ee-e4992eedaa7d,9.0,9.0,A,1,1,0.0,0,0,6771.0
