subject_id,binary_id,trinary_id,target_choice,trinary_group,catch
e945a69c-3c1d-47e5-8dcc-c414004fbdc8,16.0,16.0,0,0,0.0
e945a69c-3c1d-47e5-8dcc-c414004fbdc8,16.0,16.0,1,0,0.0
e945a69c-3c1d-47e5-8dcc-c414004fbdc8,16.0,16.0,1,0,0.0
db807547-e7a4-44fa-87cb-6be1690610f0,16.0,16.0,0,0,0.0
db807547-e7a4-44fa-87cb-6be1690610f0,16.0,16.0,1,0,0.0
db807547-e7a4-44fa-87cb-6be1690610f0,16.0,16.0,0,0,0.0
b06b759d-7bc3-44b3-ac5f-72bfa44f8e6f,16.0,16.0,0,0,0.0
b06b759d-7bc3-44b3-ac5f-72bfa44f8e6f,16.0,16.0,1,0,0.0
b06b759d-7bc3-44b3-ac5f-72bfa44f8e6f,16.0,16.0,1,0,0.0
2a7304d9-c216-4321-aa66-c518fc27cf7a,16.0,16.0,1,1,0.0
2a7304d9-c216-4321-aa66-c518fc27cf7a,16.0,16.0,0,1,0.0
2a7304d9-c216-4321-aa66-c518fc27cf7a,16.0,16.0,0,1,0.0
283a4d7f-410c-4f66-9939-cf61ea2d4b95,16.0,16.0,0,0,0.0
283a4d7f-410c-4f66-9939-cf61ea2d4b95,16.0,16.0,0,0,0.0
283a4d7f-410c-4f66-9939-cf61ea2d4b95,16.0,16.0,0,0,0.0
841f6a97-c9d3-4c02-86ca-e315512d4768,16.0,16.0,0,1,0.0
841f6a97-c9d3-4c02-86ca-e315512d4768,16.0,16.0,0,1,0.0
841f6a97-c9d3-4c02-86ca-e315512d4768,16.0,16.0,1,1,0.0
53c4bcc9-a8d9-4849-94e3-b2a14024f5a7,16.0,16.0,1,0,0.0
53c4bcc9-a8d9-4849-94e3-b2a14024f5a7,16.0,16.0,1,0,0.0
53c4bcc9-a8d9-4849-94e3-b2a14024f5a7,16.0,16.0,1,0,0.0
96aeb710-2bf4-4449-8382-e4bd3178473e,16.0,16.0,0,1,0.0
96aeb710-2bf4-4449-8382-e4bd3178473e,16.0,16.0,0,1,0.0
96aeb710-2bf4-4449-8382-e4bd3178473e,16.0,16.0,0,1,0.0
e0a357de-392a-4b4a-8b50-455f6c02a010,16.0,16.0,1,0,0.0
e0a357de-392a-4b4a-8b50-455f6c02a010,16.0,16.0,1,0,0.0
e0a357de-392a-4b4a-8b50-455f6c02a010,16.0,16.0,1,0,0.0
68dec006-5b04-4a9f-ac27-0939355af33c,16.0,16.0,1,0,0.0
68dec006-5b04-4a9f-ac27-0939355af33c,16.0,16.0,1,0,0.0
68dec006-5b04-4a9f-ac27-0939355af33c,16.0,16.0,0,0,0.0
8096b4eb-f983-4e8d-8b05-e4a0828db6bf,16.0,16.0,0,0,0.0
8096b4eb-f983-4e8d-8b05-e4a0828db6bf,16.0,16.0,0,0,0.0
8096b4eb-f983-4e8d-8b05-e4a0828db6bf,16.0,16.0,0,0,0.0
e8ebda42-a20e-49f1-aeff-b6c6a1e2d933,16.0,16.0,0,0,0.0
e8ebda42-a20e-49f1-aeff-b6c6a1e2d933,16.0,16.0,1,0,0.0
e8ebda42-a20e-49f1-aeff-b6c6a1e2d933,16.0,16.0,0,0,0.0
306418c8-50f7-49c0-ac38-5eb3399b6a86,16.0,16.0,0,0,0.0
306418c8-50f7-49c0-ac38-5eb3399b6a86,16.0,16.0,0,0,0.0
306418c8-50f7-49c0-ac38-5eb3399b6a86,16.0,16.0,0,0,0.0
88625c55-ffca-498e-a1e4-4f68997442ff,16.0,16.0,1,1,0.0
88625c55-ffca-498e-a1e4-4f68997442ff,16.0,16.0,1,1,0.0
88625c55-ffca-498e-a1e4-4f68997442ff,16.0,16.0,1,1,0.0
23e4e6c8-96b3-4791-b8dc-05b9530d7211,16.0,16.0,1,0,0.0
23e4e6c8-96b3-4791-b8dc-05b9530d7211,16.0,16.0,1,0,0.0
23e4e6c8-96b3-4791-b8dc-05b9530d7211,16.0,16.0,1,0,0.0
a7dc5d5c-803e-4f39-8a22-d6b06eca0234,16.0,16.0,1,1,0.0
a7dc5d5c-803e-4f39-8a22-d6b06eca0234,16.0,16.0,1,1,0.0
a7dc5d5c-803e-4f39-8a22-d6b06eca0234,16.0,16.0,1,1,0.0
1c3c4861-95c6-42a5-9380-25db22cb1773,16.0,16.0,0,0,0.0
1c3c4861-95c6-42a5-9380-25db22cb1773,16.0,16.0,0,0,0.0
1c3c4861-95c6-42a5-9380-25db22cb1773,16.0,16.0,0,0,0.0
76a1ad7d-b5cb-4968-abdb-e4fbe5079a2c,16.0,16.0,1,1,0.0
76a1ad7d-b5cb-4968-abdb-e4fbe5079a2c,16.0,16.0,1,1,0.0
76a1ad7d-b5cb-4968-abdb-e4fbe5079a2c,16.0,16.0,0,1,0.0
752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,16.0,16.0,0,0,0.0
752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,16.0,16.0,0,0,0.0
752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,16.0,16.0,1,0,0.0
0c2f0184-fefb-4602-bc9f-ee27470ce031,16.0,16.0,0,1,0.0
0c2f0184-fefb-4602-bc9f-ee27470ce031,16.0,16.0,0,1,0.0
0c2f0184-fefb-4602-bc9f-ee27470ce031,16.0,16.0,0,1,0.0
51eb357b-2d5f-4529-adb7-70ead931726e,16.0,16.0,1,0,0.0
51eb357b-2d5f-4529-adb7-70ead931726e,16.0,16.0,0,0,0.0
51eb357b-2d5f-4529-adb7-70ead931726e,16.0,16.0,0,0,0.0
2212f72e-a3dc-47f4-b922-1afcdaa05668,16.0,16.0,1,1,0.0
2212f72e-a3dc-47f4-b922-1afcdaa05668,16.0,16.0,0,1,0.0
2212f72e-a3dc-47f4-b922-1afcdaa05668,16.0,16.0,1,1,0.0
dc901693-8b5c-4361-b621-ae6a49ce235d,16.0,16.0,1,0,0.0
