,subject_id,binary_id,trinary_id,target_choice,trinary_group,catch,actual_choice,decoy_choice,competitor_choice,rt,amountA,probA,amountB,probB,EVA,EVB,avg_amounts,avg_probs,amountC,probC,EVC
63,306418c8-50f7-49c0-ac38-5eb3399b6a86,1.0,1.0,0,0,0.0,B,0.0,1.0,3972.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
64,306418c8-50f7-49c0-ac38-5eb3399b6a86,1.0,1.0,0,0,0.0,B,0.0,1.0,5487.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
65,306418c8-50f7-49c0-ac38-5eb3399b6a86,1.0,1.0,0,0,0.0,B,0.0,1.0,7072.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
66,d74af97c-a382-4c34-9edb-a5864ebe3b0e,1.0,1.0,1,0,0.0,A,0.0,0.0,1460.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
67,d74af97c-a382-4c34-9edb-a5864ebe3b0e,1.0,1.0,1,0,0.0,A,0.0,0.0,4664.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
68,d74af97c-a382-4c34-9edb-a5864ebe3b0e,1.0,1.0,1,0,0.0,A,0.0,0.0,3930.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
69,86117b72-b50c-4fb3-ba28-64a3ade786ac,1.0,1.0,1,0,0.0,A,0.0,0.0,4856.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
70,86117b72-b50c-4fb3-ba28-64a3ade786ac,1.0,1.0,0,0,0.0,B,0.0,1.0,3433.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
71,86117b72-b50c-4fb3-ba28-64a3ade786ac,1.0,1.0,1,0,0.0,A,0.0,0.0,5881.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
72,1a080826-2398-4f43-ab82-e5d0240eedcb,1.0,1.0,1,0,0.0,A,0.0,0.0,3302.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
73,1a080826-2398-4f43-ab82-e5d0240eedcb,1.0,1.0,1,0,0.0,A,0.0,0.0,3279.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
74,1a080826-2398-4f43-ab82-e5d0240eedcb,1.0,1.0,1,0,0.0,A,0.0,0.0,2125.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
75,197816d4-72ff-406a-aa8d-71f44d0031f7,1.0,1.0,0,0,0.0,B,0.0,1.0,1863.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
76,197816d4-72ff-406a-aa8d-71f44d0031f7,1.0,1.0,1,0,0.0,A,0.0,0.0,1390.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
77,197816d4-72ff-406a-aa8d-71f44d0031f7,1.0,1.0,0,0,0.0,B,0.0,1.0,1817.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
78,e0a357de-392a-4b4a-8b50-455f6c02a010,1.0,1.0,0,0,0.0,B,0.0,1.0,3407.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
79,e0a357de-392a-4b4a-8b50-455f6c02a010,1.0,1.0,0,0,0.0,B,0.0,1.0,1442.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
80,e0a357de-392a-4b4a-8b50-455f6c02a010,1.0,1.0,0,0,0.0,B,0.0,1.0,2224.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
81,ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,1.0,1.0,1,0,0.0,A,0.0,0.0,3285.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
82,ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,1.0,1.0,0,0,0.0,B,0.0,1.0,2213.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
83,ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,1.0,1.0,0,0,0.0,B,0.0,1.0,3443.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
84,859cd32e-1a86-486f-9329-4b6f28585b9e,1.0,1.0,0,0,0.0,B,0.0,1.0,2901.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
85,859cd32e-1a86-486f-9329-4b6f28585b9e,1.0,1.0,0,0,0.0,B,0.0,1.0,3986.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
86,859cd32e-1a86-486f-9329-4b6f28585b9e,1.0,1.0,0,0,0.0,B,0.0,1.0,3887.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
87,8096b4eb-f983-4e8d-8b05-e4a0828db6bf,1.0,1.0,1,0,0.0,A,0.0,0.0,2082.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
88,8096b4eb-f983-4e8d-8b05-e4a0828db6bf,1.0,1.0,0,0,0.0,B,0.0,1.0,5322.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
89,8096b4eb-f983-4e8d-8b05-e4a0828db6bf,1.0,1.0,1,0,0.0,A,0.0,0.0,3745.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
90,4b866b4b-b1c9-4174-b5ba-396d8e114625,1.0,1.0,0,0,0.0,B,0.0,1.0,7449.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
91,4b866b4b-b1c9-4174-b5ba-396d8e114625,1.0,1.0,1,0,0.0,A,0.0,0.0,3972.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
92,4b866b4b-b1c9-4174-b5ba-396d8e114625,1.0,1.0,0,0,0.0,B,0.0,1.0,5958.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
93,5f93f61c-8691-442b-9f60-626d11a73ef7,1.0,1.0,0,0,0.0,B,0.0,1.0,6498.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
94,5f93f61c-8691-442b-9f60-626d11a73ef7,1.0,1.0,0,0,0.0,B,0.0,1.0,1437.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
95,5f93f61c-8691-442b-9f60-626d11a73ef7,1.0,1.0,0,0,0.0,B,0.0,1.0,2586.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
96,306d960c-8919-4e56-8baa-c540b885f4f0,1.0,1.0,1,0,0.0,A,0.0,0.0,1572.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
97,306d960c-8919-4e56-8baa-c540b885f4f0,1.0,1.0,1,0,0.0,A,0.0,0.0,1060.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
98,306d960c-8919-4e56-8baa-c540b885f4f0,1.0,1.0,1,0,0.0,A,0.0,0.0,1472.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
99,6fddb33e-a9eb-4910-832f-990280fae844,1.0,1.0,1,0,0.0,A,0.0,0.0,14364.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
100,6fddb33e-a9eb-4910-832f-990280fae844,1.0,1.0,0,0,0.0,B,0.0,1.0,3630.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
101,6fddb33e-a9eb-4910-832f-990280fae844,1.0,1.0,0,0,0.0,B,0.0,1.0,5110.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
